owner,repo,createdAt
ccmc,ccmc-software,2016-12-17T22:20:08Z
ccmc,ccmc-software,2016-12-21T03:52:48Z
ccmc,ccmc-software,2016-12-22T02:42:24Z
ccmc,ccmc-software,2017-03-24T14:35:51Z
ccmc,conda-recipes,2016-12-17T22:20:09Z
ccmc,conda-recipes,2016-12-21T03:52:48Z
ccmc,conda-recipes,2016-12-22T02:42:27Z
ccmc,conda-recipes,2017-08-31T18:24:46Z
KeplerGO,lightkurve,2018-01-22T01:22:30Z
KeplerGO,lightkurve,2018-01-26T00:20:07Z
KeplerGO,lightkurve,2018-02-07T22:26:57Z
KeplerGO,lightkurve,2018-03-05T21:26:44Z
KeplerGO,lightkurve,2018-03-08T14:48:55Z
KeplerGO,lightkurve,2018-03-08T15:36:38Z
KeplerGO,lightkurve,2018-03-10T01:45:40Z
KeplerGO,lightkurve,2018-03-22T03:52:40Z
KeplerGO,lightkurve,2018-04-09T23:38:31Z
KeplerGO,lightkurve,2018-04-20T21:55:28Z
KeplerGO,lightkurve,2018-05-09T16:54:20Z
KeplerGO,lightkurve,2018-05-29T18:23:03Z
KeplerGO,lightkurve,2018-06-04T22:55:03Z
KeplerGO,lightkurve,2018-06-11T17:59:54Z
KeplerGO,lightkurve,2018-06-19T12:58:48Z
KeplerGO,lightkurve,2018-06-19T19:12:55Z
KeplerGO,lightkurve,2018-06-21T20:35:30Z
KeplerGO,lightkurve,2018-06-29T00:56:55Z
KeplerGO,lightkurve,2018-06-29T20:28:11Z
KeplerGO,lightkurve,2018-07-04T10:07:02Z
KeplerGO,lightkurve,2018-07-09T18:25:59Z
KeplerGO,lightkurve,2018-07-23T12:14:40Z
KeplerGO,lightkurve,2018-07-27T17:11:39Z
KeplerGO,lightkurve,2018-08-04T15:30:33Z
KeplerGO,lightkurve,2018-08-04T15:42:36Z
KeplerGO,lightkurve,2018-08-04T18:05:17Z
KeplerGO,lightkurve,2018-08-06T12:01:31Z
KeplerGO,lightkurve,2018-08-08T13:03:20Z
KeplerGO,lightkurve,2018-08-21T20:50:30Z
KeplerGO,lightkurve,2018-08-24T16:31:35Z
KeplerGO,lightkurve,2018-08-29T14:35:32Z
KeplerGO,lightkurve,2018-09-06T07:42:18Z
KeplerGO,lightkurve,2018-09-07T22:38:11Z
KeplerGO,lightkurve,2018-09-24T15:22:07Z
KeplerGO,lightkurve,2018-10-03T17:01:28Z
KeplerGO,lightkurve,2018-10-03T23:59:32Z
KeplerGO,lightkurve,2018-10-04T17:56:21Z
KeplerGO,lightkurve,2018-10-09T07:09:35Z
KeplerGO,lightkurve,2018-10-11T18:05:46Z
KeplerGO,lightkurve,2018-10-18T05:38:26Z
KeplerGO,lightkurve,2018-10-18T07:45:03Z
KeplerGO,lightkurve,2018-10-19T10:52:10Z
KeplerGO,lightkurve,2018-12-06T14:41:37Z
KeplerGO,lightkurve,2018-12-27T18:32:24Z
KeplerGO,lightkurve,2019-01-05T13:44:57Z
KeplerGO,lightkurve,2019-01-19T11:30:28Z
KeplerGO,lightkurve,2019-01-23T13:31:12Z
KeplerGO,lightkurve,2019-02-04T06:09:05Z
KeplerGO,lightkurve,2019-03-15T14:31:49Z
KeplerGO,lightkurve,2019-03-16T19:13:04Z
KeplerGO,lightkurve,2019-03-18T14:45:56Z
KeplerGO,lightkurve,2019-04-05T01:05:57Z
KeplerGO,lightkurve,2019-04-16T20:41:38Z
KeplerGO,KeplerScienceWebsite,2015-12-08T18:09:43Z
KeplerGO,KeplerScienceWebsite,2016-10-05T19:10:29Z
KeplerGO,KeplerScienceWebsite,2016-12-17T22:29:33Z
KeplerGO,KeplerScienceWebsite,2016-12-21T03:55:45Z
KeplerGO,KeplerScienceWebsite,2016-12-22T02:53:08Z
KeplerGO,KeplerScienceWebsite,2017-01-27T14:38:35Z
KeplerGO,KeplerScienceWebsite,2017-07-26T19:27:47Z
KeplerGO,KeplerScienceWebsite,2017-08-15T00:05:54Z
KeplerGO,KeplerScienceWebsite,2017-08-16T20:40:30Z
KeplerGO,KeplerScienceWebsite,2018-02-27T00:27:48Z
KeplerGO,KeplerScienceWebsite,2018-08-09T15:04:13Z
KeplerGO,KeplerScienceWebsite,2018-12-19T22:09:34Z
KeplerGO,kadenza,2016-05-20T06:41:06Z
KeplerGO,kadenza,2016-09-24T17:14:16Z
KeplerGO,kadenza,2016-12-04T07:24:27Z
KeplerGO,kadenza,2016-12-17T22:29:35Z
KeplerGO,kadenza,2016-12-21T03:55:46Z
KeplerGO,kadenza,2016-12-22T02:53:13Z
KeplerGO,kadenza,2017-03-02T18:59:04Z
KeplerGO,kadenza,2017-03-11T19:16:41Z
KeplerGO,kadenza,2017-03-12T02:20:28Z
KeplerGO,kadenza,2017-03-25T00:55:54Z
KeplerGO,kadenza,2017-06-27T09:01:48Z
KeplerGO,k2mosaic,2017-03-16T22:43:42Z
KeplerGO,k2mosaic,2017-03-17T04:45:29Z
KeplerGO,k2mosaic,2017-07-25T17:58:02Z
KeplerGO,k2mosaic,2017-07-25T23:25:21Z
KeplerGO,k2mosaic,2017-08-16T16:47:17Z
KeplerGO,k2mosaic,2017-08-28T18:20:03Z
KeplerGO,k2mosaic,2018-10-02T22:09:17Z
KeplerGO,K2ephem,2016-02-19T19:15:28Z
KeplerGO,K2ephem,2016-12-17T22:29:40Z
KeplerGO,K2ephem,2016-12-21T03:55:47Z
KeplerGO,K2ephem,2016-12-22T02:53:16Z
KeplerGO,K2ephem,2017-05-21T15:47:58Z
KeplerGO,K2ephem,2018-12-14T07:29:35Z
KeplerGO,k2-quality-control,2016-09-03T17:11:56Z
KeplerGO,k2-quality-control,2016-12-17T22:29:42Z
KeplerGO,k2-quality-control,2016-12-21T03:55:48Z
KeplerGO,k2-quality-control,2016-12-22T02:53:17Z
KeplerGO,k2-quality-control,2017-06-01T01:40:19Z
KeplerGO,pyke,2016-01-04T19:14:48Z
KeplerGO,pyke,2016-07-07T17:43:55Z
KeplerGO,pyke,2016-07-12T14:51:28Z
KeplerGO,pyke,2016-12-17T22:29:26Z
KeplerGO,pyke,2016-12-21T03:55:43Z
KeplerGO,pyke,2016-12-22T02:53:03Z
KeplerGO,pyke,2017-04-27T02:42:15Z
KeplerGO,pyke,2017-06-20T12:08:55Z
KeplerGO,pyke,2017-06-26T05:58:07Z
KeplerGO,pyke,2017-06-29T23:52:43Z
KeplerGO,pyke,2017-06-30T23:51:24Z
KeplerGO,pyke,2017-07-25T20:44:07Z
KeplerGO,pyke,2017-07-27T00:16:21Z
KeplerGO,pyke,2017-07-31T12:50:13Z
KeplerGO,pyke,2017-07-31T17:34:58Z
KeplerGO,pyke,2017-08-08T16:42:49Z
KeplerGO,pyke,2017-08-09T16:52:40Z
KeplerGO,pyke,2017-08-23T19:57:04Z
KeplerGO,pyke,2017-08-30T14:47:52Z
KeplerGO,pyke,2017-08-31T00:28:14Z
KeplerGO,pyke,2017-10-05T13:05:38Z
KeplerGO,pyke,2017-10-11T21:38:46Z
KeplerGO,pyke,2017-10-17T17:06:19Z
KeplerGO,pyke,2017-10-29T23:11:51Z
KeplerGO,pyke,2018-02-17T21:05:20Z
KeplerGO,pyke,2018-02-17T23:20:20Z
KeplerGO,pyke,2018-05-05T22:01:30Z
KeplerGO,pyke,2018-05-10T08:07:00Z
KeplerGO,pyke,2018-05-24T07:38:36Z
KeplerGO,pyke,2018-06-29T00:56:34Z
KeplerGO,pyke,2018-08-14T04:48:52Z
KeplerGO,pyke,2018-11-27T13:11:11Z
KeplerGO,pyke,2019-04-17T20:25:32Z
KeplerGO,k2flix,2015-07-27T06:53:35Z
KeplerGO,k2flix,2017-03-08T18:23:59Z
KeplerGO,k2flix,2017-03-17T12:53:22Z
KeplerGO,k2flix,2017-07-25T18:34:51Z
KeplerGO,k2flix,2018-12-13T13:20:43Z
KeplerGO,oktopus,2017-09-13T03:19:47Z
KeplerGO,oktopus,2017-09-30T16:27:33Z
KeplerGO,oktopus,2017-10-11T21:20:25Z
KeplerGO,oktopus,2018-08-04T15:52:25Z
KeplerGO,K2fov,2015-12-07T18:45:54Z
